-50.52 -22.94      0    1.2    4.3    9.9    0.2      0    0.1    0.6    3.8    6.9    8.4    6.5    5.3    6.5      0     23      0      0      0      0      0      0  10.37      0      0   0.44      0      0   2.05   7.93      0      0      0      0      0      0      0   1.27   10.9   1.96  10.57   4.19   4.19   4.19   4.19
-51.33 -22.65      0    6.6    7.2   14.4    0.1    0.1    0.2    1.4    4.2    8.3      9    9.5    6.5      7      0     25      0      0      0      0      0   3.63  14.51      0   1.72   0.72      0    0.2   5.31  12.34      0      0      0      0      0      0      0  15.21     25   7.07   6.08   9.95   9.95   9.95   9.95
-49.73 -23.01    0.1    3.1    4.9    7.7    0.2    0.1    0.2    2.3    5.8   10.1   12.6   11.3    6.6    7.3   0.57     28      0      0      0      0      0   4.54  10.35   0.77   2.23   1.15      0      0   6.87   1.59      0      0      0      0      0      0      0   22.5     28   4.37   4.66  13.25  13.25  13.25  13.25
-49.23 -23.22      0    1.3    4.4    7.8    0.2    0.1    0.2    1.8    5.6    8.4   11.5   10.1    6.2    6.8      0     24      0      0      0      0      0   0.79   8.46   0.22      0   1.49      0      0   3.11      4      0      0      0      0      0      0      0  13.15  15.12  10.24  11.26  23.24  23.24  23.24  23.24
-50.71 -24.06    0.5   10.5    5.7    8.1    0.4    0.2    0.3    2.9    6.8   12.9   13.9   11.8    6.7    6.5    4.3     29      0      0      0      0      0  11.52   5.13   1.06     29   0.35      0      0   7.91    0.2      0      0      0      0      0      0      0  10.42     29  18.55    2.3   10.6   10.6   10.6   10.6
-52.87  -22.5      0   13.2    6.6     26    0.1      0    0.1    0.6    2.9    6.3    7.1    8.4    6.4    6.6      0  19.83      0      0      0      0      0   0.74   2.63      0      0      0      0      0   2.44   5.21      0      0      0      0      0      0   0.46   7.88     26   8.84   1.68   2.52   2.52   2.52   2.52
-47.33 -16.21      0      0      0    0.1    0.1      0      0    1.2    0.1      0      0    0.6    0.7    0.1      0    1.9   5.21      0   1.02      0      0      0      0      0      0      0      0      0      0      0   1.04      0   0.22      0      0      0      0      0      0      0      0   5.25   5.25   5.25   5.25
-44.76 -18.95      0      0    0.3    1.9    0.4      0    2.1      0    0.1    1.2    1.6    3.7    1.4    0.7   4.93  11.36  17.06   3.24   0.72      0      0      0      0      0      0      0      0      0      0   3.71      0      0      0      0      0      0      0      0      0   0.24   0.48   2.29   2.29   2.29   2.29
-44.86 -15.93      0      0      0    0.1      0      0      0    0.4      0      0      0    0.4    1.1    0.4   0.79   0.75   4.45   0.65   2.19      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0   0.37   0.37   0.37   0.37
-45.07 -16.37      0      0      0    0.6    0.1      0      0      0    0.1    0.3    0.4    2.2    1.5    0.7   3.51   4.51   4.97   3.52   2.45   0.27      0      0      0      0      0      0      0      0      0   0.85   0.81      0      0      0      0      0      0      0      0      0   0.32   3.39   3.39   3.39   3.39
